User description of file,,,,,,
Min approach,max approach,condenser approach,minimum steam temperature from manual,steam temperature cushion above wet bulb temperature,"cushion by which the steam temperature can exceed the ""typical"" steam temperature",
5,15,5,79,15,5,
C,Slope,Range,Approach_600,Approach_3500,WBT,LG  
1.6,-0.6,10,8.25,7.287,68,1.2
1.6,-0.6,10,12.56,11.275,68,1.8
1.6,-0.6,10,5.72,4.903,78,1.2
1.6,-0.6,10,9.18,8.051,78,1.8
1.6,-0.6,15,10.96,9.691,68,1.2
1.6,-0.6,15,16.33,14.683,68,1.8
1.6,-0.6,15,7.65,6.563,78,1.2
1.6,-0.6,15,12.05,10.574,78,1.8
1.6,-0.6,20,13.064,11.559,68,1.2
1.6,-0.6,20,19.147,17.227,68,1.8
1.6,-0.6,20,9.172,7.87,78,1.2
1.6,-0.6,20,14.21,12.485,78,1.8
1.6,-0.6,25,14.718,13.028,68,1.2
1.6,-0.6,25,21.282,19.16,68,1.8
1.6,-0.6,25,10.377,8.907,78,1.2
1.6,-0.6,25,15.871,13.952,78,1.8
1.9,-0.6,10,7.275,6.372,68,1.2
1.9,-0.6,10,11.506,10.271,68,1.8
1.9,-0.6,10,4.908,4.149,78,1.2
1.9,-0.6,10,8.264,7.183,78,1.8
1.9,-0.6,15,9.662,8.468,68,1.2
1.9,-0.6,15,14.952,13.362,68,1.8
1.9,-0.6,15,6.557,5.547,78,1.2
1.9,-0.6,15,10.823,9.418,78,1.8
1.9,-0.6,20,11.51,10.092,68,1.2
1.9,-0.6,20,17.508,15.658,68,1.8
1.9,-0.6,20,7.848,6.642,78,1.2
1.9,-0.6,20,12.748,11.101,78,1.8
1.9,-0.6,25,12.957,11.363,68,1.2
1.9,-0.6,25,19.437,17.392,68,1.8
1.9,-0.6,25,8.869,7.509,78,1.2
1.9,-0.6,25,14.216,12.384,78,1.8
2.1,-0.6,10,6.773,5.9,68,1.2
2.1,-0.6,10,10.971,9.759,68,1.8
2.1,-0.6,10,4.488,3.761,78,1.2
2.1,-0.6,10,7.793,6.738,78,1.8
2.1,-0.6,15,8.987,7.832,68,1.2
2.1,-0.6,15,14.241,12.681,68,1.8
2.1,-0.6,15,5.988,5.021,78,1.2
2.1,-0.6,15,10.191,8.819,78,1.8
2.1,-0.6,20,10.697,9.325,68,1.2
2.1,-0.6,20,16.656,14.841,68,1.8
2.1,-0.6,20,7.159,6.005,78,1.2
2.1,-0.6,20,11.986,10.378,78,1.8
2.1,-0.6,25,12.031,10.489,68,1.2
2.1,-0.6,25,18.471,16.465,68,1.8
2.1,-0.6,25,8.081,6.78,78,1.2
2.1,-0.6,25,13.348,11.562,78,1.8
2.3,-0.6,10,6.355,5.506,68,1.2
2.3,-0.6,10,10.53,9.338,68,1.8
2.3,-0.6,10,4.137,3.438,78,1.2
2.3,-0.6,10,7.403,6.368,78,1.8
2.3,-0.6,15,8.423,7.3,68,1.2
2.3,-0.6,15,13.651,12.114,68,1.8
2.3,-0.6,15,5.511,4.581,78,1.2
2.3,-0.6,15,9.663,8.318,78,1.8
2.3,-0.6,20,10.013,8.68,68,1.2
2.3,-0.6,20,15.944,14.157,68,1.8
2.3,-0.6,20,6.58,5.471,78,1.2
2.3,-0.6,20,11.346,9.772,78,1.8
2.3,-0.6,25,11.249,9.752,68,1.2
2.3,-0.6,25,17.659,15.684,68,1.8
2.3,-0.6,25,7.418,6.17,78,1.2
2.3,-0.6,25,12.617,10.869,78,1.8
1.6,-0.8,10,8.475,7.5,68,1.2
1.6,-0.8,10,13.388,12.06,68,1.8
1.6,-0.8,10,5.912,5.078,78,1.2
1.6,-0.8,10,9.903,8.726,78,1.8
1.6,-0.8,15,11.259,9.973,68,1.2
1.6,-0.8,15,17.405,15.703,68,1.8
1.6,-0.8,15,7.907,6.798,78,1.2
1.6,-0.8,15,12.99,11.465,78,1.8
1.6,-0.8,20,13.421,11.896,68,1.2
1.6,-0.8,20,20.403,18.429,68,1.8
1.6,-0.8,20,9.477,8.153,78,1.2
1.6,-0.8,20,15.33,13.545,78,1.8
1.6,-0.8,25,15.122,13.409,68,1.2
1.6,-0.8,25,22.686,20.504,68,1.8
1.6,-0.8,25,10.723,9.229,78,1.2
1.6,-0.8,25,17.13,15.146,78,1.8
1.9,-0.8,10,7.469,6.555,68,1.2
1.9,-0.8,10,12.208,10.94,68,1.8
1.9,-0.8,10,5.071,4.3,78,1.2
1.9,-0.8,10,8.8787,7.762,78,1.8
1.9,-0.8,15,9.922,8.713,68,1.2
1.9,-0.8,15,15.875,14.244,68,1.8
1.9,-0.8,15,6.777,5.75,78,1.2
1.9,-0.8,15,11.641,10.191,78,1.8
1.9,-0.8,20,11.822,10.387,68,1.2
1.9,-0.8,20,18.604,16.708,68,1.8
1.9,-0.8,20,8.114,6.888,78,1.2
1.9,-0.8,20,13.727,12.027,78,1.8
1.9,-0.8,25,13.312,11.699,68,1.2
1.9,-0.8,25,20.673,18.576,68,1.8
1.9,-0.8,25,9.172,7.79,78,1.2
1.9,-0.8,25,15.325,13.435,78,1.8
2.1,-0.8,10,6.951,6.067,68,1.2
2.1,-0.8,10,11.606,10.366,68,1.8
2.1,-0.8,10,4.637,3.899,78,1.2
2.1,-0.8,10,8.351,7.265,78,1.8
2.1,-0.8,15,9.226,8.058,68,1.2
2.1,-0.8,15,15.083,13.488,68,1.8
2.1,-0.8,15,6.19,5.207,78,1.2
2.1,-0.8,15,10.94,9.528,78,1.8
2.1,-0.8,20,10.985,9.597,68,1.2
2.1,-0.8,20,17.664,15.807,68,1.8
2.1,-0.8,20,7.403,6.231,78,1.2
2.1,-0.8,20,12.888,11.233,78,1.8
2.1,-0.8,25,12.36,10.8,68,1.2
2.1,-0.8,25,19.614,17.561,68,1.8
2.1,-0.8,25,8.361,7.039,78,1.2
2.1,-0.8,25,14.375,12.535,78,1.8
2.3,-0.8,10,6.519,5.66,68,1.2
2.3,-0.8,10,11.108,9.89,68,1.8
2.3,-0.8,10,4.274,3.564,78,1.2
2.3,-0.8,10,7.914,6.852,78,1.8
2.3,-0.8,15,8.644,7.508,68,1.2
2.3,-0.8,15,14.423,12.856,68,1.8
2.3,-0.8,15,5.698,4.753,78,1.2
2.3,-0.8,15,10.353,8.973,78,1.8
2.3,-0.8,20,10.281,8.932,68,1.2
2.3,-0.8,20,16.875,15.051,68,1.8
2.3,-0.8,20,6.806,5.68,78,1.2
2.3,-0.8,20,12.182,10.565,78,1.8
2.3,-0.8,25,11.556,10.041,68,1.2
2.3,-0.8,25,18.72,16.704,68,1.8
2.3,-0.8,25,7.678,6.409,78,1.2
2.3,-0.8,25,13.572,11.744,78,1.8
2.5,-0.8,10,6.153,5.316,68,1.2
2.5,-0.8,10,10.691,9.491,68,1.8
2.5,-0.8,10,3.967,3.281,78,1.2
2.5,-0.8,10,7.545,6.503,78,1.8
2.5,-0.8,15,8.148,7.041,68,1.2
2.5,-0.8,15,13.866,12.322,68,1.8
2.5,-0.8,15,5.28,4.368,78,1.2
2.5,-0.8,15,9.856,8.508,78,1.8
2.5,-0.8,20,9.68,8.365,68,1.2
2.5,-0.8,20,16.205,14.407,68,1.8
2.5,-0.8,20,6.298,5.212,78,1.2
2.5,-0.8,20,11.581,9.994,78,1.8
2.5,-0.8,25,10.867,9.392,68,1.2
2.5,-0.8,25,17.957,15.971,68,1.8
2.5,-0.8,25,7.095,5.873,78,1.2
2.5,-0.8,25,12.885,11.124,78,1.8
