User description of file,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Days in month,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,design,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,28,31,30,31,30,31,31,30,31,30,31,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Min T,Min approach,max approach,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4.44444,5,15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plant Characteristics,,,Added heat load MMBtu,,,,,,,,,,,,Dry bulb air temperature Ta (oC),,,,,,,,,,,,Wet bulb air temperature Twb (oC),,,,,,,,,,,,Natural water temperature  T (oC),,,,,,,,,,,,Wind speed,,,,,,,,,,,,DC,,
Plant_ID,Elevation,Pond_Area,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Tdb,Twb,nwT
51,245,0,2775929,2524080,2769677,400047,2620977,2626687,1864263,2541524,2458614,2265319,2592293,2250818,6.7,6.22,12.61,19.49,25.21,29.29,28.92,30.25,27.29,20.04,14.01,9,4.44,4.44,9.05,15.11,20.35,24.13,24.6,24.54,21.24,14.17,11.27,6.12,7.35,6.9,12.01,19.78,24.61,29.29,29.79,30.49,27.96,22.32,17.07,10.54,6.5,6.56,7.79,7.93,7.11,5.76,5.18,5.28,5.65,5.17,7.1,7.96,89.62050661,79,30.49
59,1870,0,357636,319218,279236,150338,257347,292511,329901,334352,276683,198118,259437,322952,4.44,4.44,5.35,12.33,14.97,22.63,24.55,24.8,18.66,13.02,4.44,4.44,4.44,4.44,4.44,8.31,11.48,18.48,20.88,20.03,14.42,7.99,4.44,4.44,1.9,2.66,5.99,13.22,17.32,23.61,26.36,26.28,20,13.98,7.68,2.95,9.31,9.54,11.69,12.2,11.53,9.81,8.3,8.85,9.6,9.56,11.07,9.97,88.02768518,74.99079651,30.49
60,1890,0,293833,258345,251121,54708,223606,264100,276142,271622,248893,168166,250015,226884,4.44,4.44,5.31,12.36,14.94,22.78,24.79,24.82,18.72,13.17,4.44,4.44,4.44,4.44,4.44,8.44,11.69,18.69,20.98,20.18,14.71,8.2,4.44,4.44,1.93,2.76,6.24,13.48,17.32,23.66,26.04,26.42,20.64,14.65,7.69,2.88,9.02,9.49,11.67,11.8,11.17,9.51,8.23,8.42,9.18,9.27,10.93,9.71,88.07506764,75.00073091,30.49
87,6890,0,915684,749074,872899,243615,769331,791682,849683,836771,811591,834360,851541,867760,4.44,4.44,8.6,9.83,13.83,21.3,23.83,22.2,19.48,12.68,4.44,4.44,4.44,4.44,4.44,4.44,5.3,10.06,15.06,14.7,10.67,6.63,4.44,4.44,1.88,4.3,7.58,13.5,16.43,22.12,24.69,21.97,18.94,13.01,6.13,3.8,6.63,6.77,7.94,10.88,10.44,8.34,7.75,6.71,7.02,7.21,7.53,5.99,79.3757684,62.51768759,30.49
108,2920,0,1292831,1221096,1200782,601301,904016,1241849,1365744,1295306,1263888,1204951,1176329,1274126,4.44,4.44,6.4,12.84,16.37,25.17,26.42,26.21,22.06,14.92,5.59,4.44,4.44,4.44,4.44,8.22,11.99,18.52,20.1,18.67,15.33,8.59,4.44,4.44,2.48,4.16,9.53,15.02,18.3,24.45,25.74,25.06,21.51,15.06,7.78,4.05,10.38,10.53,13.35,14.45,13.65,13.15,11.37,11.26,12.19,10.93,12.26,9.99,88.30561281,70.90968836,30.49
116,1180,0,0,0,0,74,0,7728,47296,125933,81689,70870,1275,0,13.83,14.46,17.4,20.79,25.04,32.19,35.46,33.93,32.4,24.82,16.64,14.84,7.55,8.99,9.52,10.43,11.91,15.96,21.39,21.38,17.95,15.33,7.99,8.32,4.41,6.61,9.31,13.88,17.34,24.14,24.89,23.82,20.64,12.84,6.54,3.85,4.94,5.02,6.27,7.19,7.08,6.49,7.38,6.74,5.31,5.56,5.11,4.35,96.68488697,75.06482624,30.49
117,1060,0,316840,247918,343458,218066,90381,499504,697417,764723,565862,722070,477244,528225,13.76,14.19,16.91,20.46,24.69,31.82,35.22,33.66,32.1,24.56,16.37,14.62,7.43,8.83,9.33,10.25,11.7,15.8,21.28,21.25,17.79,15.21,7.83,8.18,4.5,6.68,9.34,13.88,17.3,24.16,24.91,23.86,20.71,12.85,6.54,3.85,4.9,4.93,6.22,7.13,7.03,6.36,7.27,6.58,5.23,5.42,5.08,4.28,96.65957508,75.28778524,30.49
118,1910,0,60,180,661,1531,2912,1711,1021,360,1231,991,360,30,13.66,13.99,16.57,20.25,24.48,31.58,35.04,33.49,31.89,24.38,16.18,14.46,7.36,8.74,9.22,10.16,11.61,15.75,21.23,21.2,17.73,15.16,7.76,8.11,4.38,6.59,8.96,14.4,18.29,24.84,24.81,23.51,20.43,12.76,6.55,3.86,5.75,5.46,6.93,7.62,7.37,7.04,7.77,6.43,5.53,5.82,5.64,4.82,89.86287489,72.21999983,30.49
120,121,0,190468,168374,26097,22908,180273,169734,183481,201813,168892,146854,198312,195932,13.33,15.17,17,20.17,24.72,31.33,35.72,34.33,31.44,23.78,16.39,13.72,7.39,9.72,9.28,10.61,12.56,16.39,20.72,19.78,16.44,14.61,7.89,8.11,6.23,7.7,9.81,14.01,18.17,24.76,24.76,23.12,20.34,12.52,6.75,4,6.17,5.61,6.83,7.58,7.68,6.61,8.63,7.31,5.4,5.8,6.79,5.68,95.17238764,77.85301666,30.49
126,2610,0,316951,297054,354365,385995,360015,573262,844183,788741,540222,431486,274864,247045,8.2,9.31,12.31,16.23,20.62,27.4,28.71,27.71,25.68,19.43,10.73,9.81,4.44,4.84,5.42,7.84,8.81,13.64,19.42,19.53,16.47,11.23,4.44,4.44,4.39,6.55,8.68,14.56,18.66,25.04,24.77,23.38,20.31,13.07,6.56,3.94,6.53,6.55,8.5,8.76,8.59,8.38,8.11,6.37,6.22,6.62,6.63,5.75,87.78565693,71.2098752,30.49
127,1230,0,1861913,1993673,1742774,145783,1095473,1567404,2150610,1912551,2002249,2070237,1186303,1703615,4.44,4.44,11.22,17.33,23.47,28.86,28.48,30.69,25.5,18.7,11.8,6.66,4.44,4.44,6.76,12.85,16.86,22.42,23.23,22.04,20.23,12.31,7.03,4.44,5.32,5.97,12.33,18.71,22.76,28.61,28.44,29.54,25.93,18.92,11.88,6.7,9.61,9.61,12.87,13.07,10.74,11.48,8.84,8.52,9.5,8.39,11.3,9.55,91.14378078,76.39770714,30.49
130,80,0,7490734,6786195,6099650,4275363,6358960,7204966,8730827,8298400,6770903,5506454,5985595,6600988,6.33,6.47,12.48,18.86,24.04,28.28,28.1,28.19,25.59,19.62,13.56,4.95,4.44,4.44,8.7,14.07,19.8,23.62,24.08,24.62,21.22,15.02,10.22,4.44,6.61,8.13,12.21,18.96,24.11,28.66,29.22,30.11,27.79,21.89,16.07,9.84,7.08,7.29,6.99,6.71,6.67,5.52,5.71,5.08,4.71,5.47,5.38,6.61,87.83979351,78.42682415,30.49
136,80,0,4172882,3784399,2708408,2830461,4158398,4396100,4614714,4570602,4262258,3358177,2859637,4265299,10.87,9.33,14.45,20.49,25.78,28.42,29.17,29.07,27.02,21.85,17.43,8.86,6.68,7.09,10.77,16.3,21.44,23.81,24.44,24.99,22.88,17.13,13.83,5.21,11.96,12.2,15.24,21.27,25.84,28.43,28.38,28.38,26.9,21.97,18.37,12.59,7.89,7.83,8.05,8.55,8.14,5.84,7.03,6.97,6.25,6.09,6.64,7.78,88.33952764,79,30.49
141,1140,0,0,0,0,10060,0,4026,70925,98208,0,7366,3193,0,13.7,13.89,16.36,20.09,24.31,31.39,34.95,33.35,31.77,24.28,16.07,14.38,7.3,8.66,9.11,10.03,11.46,15.62,21.15,21.1,17.59,15.06,7.65,8.02,4.5,6.7,9.37,13.85,17.19,24.12,24.94,23.87,20.73,12.86,6.53,3.85,4.84,4.82,6.12,7.02,6.91,6.17,7.12,6.37,5.12,5.23,5.02,4.18,96.3335461,75.30324108,30.49
147,1190,0,24428,1171,70024,8373,37989,100805,211521,223101,170819,135528,41079,0,13.82,14.4,17.29,20.72,24.96,32.12,35.41,33.87,32.34,24.77,16.58,14.8,7.53,8.95,9.48,10.39,11.87,15.93,21.37,21.35,17.92,15.31,7.95,8.29,4.44,6.62,9.3,13.91,17.4,24.19,24.88,23.83,20.64,12.83,6.54,3.86,4.93,5.01,6.28,7.2,7.1,6.49,7.37,6.72,5.3,5.54,5.12,4.35,96.59249497,75.02244662,30.49
160,4200,0,1148278,1044269,529216,868418,1076391,1155253,1313869,1223233,1171707,1063076,1027072,1084612,8.12,9.27,12.23,16.12,20.54,27.26,28.54,27.55,25.52,19.3,10.63,9.75,4.44,4.79,5.34,7.8,8.78,13.64,19.42,19.54,16.5,11.18,4.44,4.44,4.07,6.19,8.5,14.54,19.07,24.96,24.52,23.17,20.03,13.59,7.04,4.26,7.1,7.37,9.48,9.66,9.29,9.08,8.08,6.15,6.55,7.09,7.31,6.43,85.60070051,70.11482179,30.49
165,620,0,3857479,3345411,3147497,1941379,2169900,3404520,3826382,3756810,3618339,2349310,2800413,3073382,4.44,4.44,9.89,17.15,20.95,27.47,28.36,29.4,23.51,16.55,10.87,4.44,4.44,4.44,6.41,13.04,17.43,23.35,24.36,22.92,19.54,12.15,7.28,4.44,5.33,5.95,9.65,15.99,19.07,23.73,26.44,27.91,24.33,18.06,11.47,5.64,7.43,6.61,9.41,9.17,6.83,6.89,6.21,6.36,6.6,5.6,8.94,7.66,89.96800465,77.7259636,30.49
169,300,0,0,0,0,0,0,0,173632,146168,161825,0,0,0,5.09,5.15,11.82,18.65,24.1,28.75,28.77,30.07,25.82,18.48,12.63,7.26,4.44,4.44,8.47,14.37,19.76,24.04,24.41,24.24,20.42,13.19,10.05,4.77,6.18,6.27,11.77,19.42,24.4,29.27,29.79,30.87,26.66,20.25,14.97,9.35,5.96,5.77,7.14,7.14,5.99,4.9,5.08,4.81,4.81,4.59,6.29,6.86,90,79,30.49
207,10,0,4556324,3264544,1930581,3734646,4366403,4159190,4612664,5063384,4529852,3604448,3852370,4379266,12.49,9.76,14.21,20.03,25.35,28.3,29.01,29.01,26.62,21.24,16.71,8.33,6.45,6.85,10.61,16.15,21.27,23.7,24.23,24.94,22.73,16.93,13.55,4.86,10.98,11.39,14.43,21.06,25.74,28.6,28.66,28.82,27.13,21.78,17.83,12.6,7.48,7.48,7.62,7.78,7.52,5.26,6.42,6.37,5.58,5.31,5.93,7.2,87.26568437,79.35336055,30.49
286,2704,0,6904521,6266438,6922583,6678165,6940008,6575555,6820660,6810539,6504050,6414415,6377623,6793818,8.8,10.49,10.83,11.55,14.17,20.03,21.7,20.87,20.56,16.49,10.99,9.5,7.85,8.83,7.74,8.47,10.14,14.24,15.04,14.44,14.12,11.95,8.05,8.44,6.78,8.29,10.48,12.58,15.23,18.06,19.51,18.97,18.29,14.56,10.68,7.78,4.17,3.24,4.63,5.53,6.01,6.06,5.93,5.3,3.88,3.69,3.52,3.84,92.93287316,69.62631685,30.49
298,460,0,5489256,3068101,5572514,5331345,5292563,6055198,5409557,6159236,5834401,5342886,5446903,4645212,8.09,7.33,13.67,19.69,25.71,28.67,29.12,31.28,26.98,21.21,15.62,11.56,5.28,4.77,9.77,15.4,20.07,23.91,24.25,24.01,22.31,15.33,12.22,8.19,9.74,8.41,13.23,20.01,25.09,29.3,29.97,31.64,27.78,23.36,17.91,13.45,8.27,8.41,10.05,9.72,8.77,8.49,7.78,7.18,7.03,7.1,10.1,10.17,90.29513098,78.5727703,30.49
299,6059,0,428534,392274,417158,412655,328760,389198,392463,401657,388906,428843,344535,389765,4.44,4.44,4.44,6.8,10.03,18.98,24.07,21.54,17.31,10.67,4.44,4.44,4.44,4.44,4.44,4.44,4.48,9.99,13.61,12.18,7.23,6.29,4.44,4.44,2.87,4.5,7.86,10.05,12.84,19.72,23.28,21.07,18.97,12.57,5.58,3.01,7.85,6.75,10.47,11.11,11.64,10.72,9.31,10.79,9.33,8.23,9.57,8.33,81.34181059,62.59179305,30.49
329,1960,0,7890,0,841,0,0,0,25630,25802,33037,15137,26891,0,10.81,12.6,14.28,15.54,19.43,24.83,27.8,26.91,24.8,19.57,13.17,11.55,6.47,8.41,8.42,9.76,11.76,15.72,17.28,16.39,15.19,13.79,7.74,8.05,6.04,8.36,10.26,13.47,17.42,24.38,25.21,21.31,19.12,12.29,7.11,4.34,4.36,5.62,8.18,9.24,10.42,9.1,8.43,8.02,6.19,6.66,6.72,5.12,94.78574029,70.81112157,30.49
331,1110,0,0,0,73260,107906,27772,50300,355572,192482,363238,182041,201221,67450,14,14.48,16.52,15.43,17.59,19.92,21.23,21.89,22.52,20.23,17.21,14.18,9.84,10.78,10.82,11.14,13.1,15.59,16.47,16.27,16.48,15.81,11.16,10.93,6.47,8.6,10.06,13.56,18.19,24.94,24.95,21.1,18.95,12.23,7.1,4.32,3.01,3.61,5.29,6.05,6.41,6.33,6.11,5.46,4.47,4.62,4.39,2.74,91.55720386,72.71795745,30.49
358,1110,0,1000328,789351,1093206,1416913,1331058,794679,1513855,1518811,1524934,1291209,1520285,1130431,14.01,14.46,16.5,15.42,17.58,19.91,21.22,21.87,22.54,20.28,17.28,14.23,9.86,10.79,10.83,11.15,13.1,15.59,16.48,16.28,16.49,15.83,11.21,10.96,6.41,8.56,10.02,13.52,18.08,24.9,24.97,21.09,18.93,12.22,7.06,4.29,2.89,3.46,5.06,5.8,6.1,6.07,5.8,5.14,4.22,4.36,4.16,2.59,93.26854717,72.72050387,30.49
371,450,0,5751967,5284655,5577734,5588475,5777685,4083032,5516391,5557958,5687647,5859990,5678630,5750845,4.44,5.46,7.69,10.84,13.28,18.17,23.34,22.57,18.15,11.91,4.44,4.44,4.44,4.44,4.44,6.45,8.7,12.48,14.44,13.87,12.79,8.33,4.44,4.44,3.29,4.55,6.42,8.67,11.11,13.5,17.89,19.51,17.94,13.51,8.33,3.71,4.2,3.7,6.43,9.82,7.83,7.37,6.55,6.49,5.56,5.28,5.7,5.29,92.46742551,66.82453838,30.49
377,470,0,91042,73452,84087,97003,95661,104026,105215,99845,141365,115664,123650,127588,14.14,13.7,17.03,15,17.26,19.79,21.38,22.11,22.13,19.21,16.09,13.98,9.2,10.04,10.12,10.61,12.56,15.48,16.34,15.87,15.65,14.63,9.87,9.95,7.08,9.51,10.19,13.28,18.29,24.98,24.45,21.15,19.02,12.25,7.22,4.44,4.3,4.67,5.52,6.38,6.41,5.89,6.08,5.41,4.58,4.6,4.84,4.54,80.61977058,70.38175943,30.49
389,-50,0,123502,108736,274053,272561,147674,421702,435765,450292,436002,251896,118473,121409,12.09,13.67,15.14,17.22,21.51,26.67,30.42,29.86,27.55,21.42,14.52,12.72,7.3,9.21,9.02,10.42,12.47,16.1,19.18,18.43,16.14,14.46,7.9,8.13,6.35,7.82,9.53,13.92,18.59,25.41,24.9,21.82,18.99,12.13,6.79,4.04,4.49,5.92,7.96,8.31,9.74,8.18,7.06,6.28,5.44,6.06,6.82,5.17,95.55687402,78.66373602,30.49
408,920,0,213669,525670,3989,49818,21613,148351,319930,102783,356522,725282,691255,447296,13.98,13.54,17.16,15,17.43,20.08,21.85,22.74,22.63,19.17,15.84,13.84,8.93,9.81,9.92,10.46,12.47,15.53,16.44,15.92,15.61,14.47,9.53,9.67,7.1,9.56,10.24,13.29,18.3,24.96,24.47,21.19,19.05,12.26,7.26,4.47,4.15,4.49,5.36,6.16,6.39,5.91,6.07,5.32,4.47,4.51,4.71,4.51,80.61144929,70.38132411,30.49
420,750,0,0,0,0,0,67670,0,23008,36645,97890,0,0,18312,14.34,13.9,16.89,15.01,17.05,19.45,20.83,21.35,21.54,19.28,16.41,14.15,9.53,10.32,10.36,10.8,12.67,15.43,16.22,15.82,15.7,14.83,10.28,10.29,7.05,9.48,10.16,13.26,18.25,24.97,24.45,21.14,19,12.24,7.19,4.41,4.49,4.9,5.74,6.67,6.5,5.9,6.14,5.56,4.74,4.73,5.01,4.6,81.02201726,70.53264165,30.49
462,5354,0,192774,169987,204470,139392,182251,157877,170802,177876,173643,165946,163055,168748,4.44,4.44,4.44,6.23,12.02,18.19,20.35,19.41,16.95,9.89,4.44,4.44,4.44,4.44,4.44,4.44,4.93,10.69,13.25,12.54,8.32,4.44,4.44,4.44,1.85,3.26,6.66,9.48,12.72,17.19,19.63,20.13,17.83,12.5,5.53,3.65,6.08,6.36,8.44,11.41,10.02,9.38,7.9,6.97,7.7,7.92,8.32,6.63,81.30577087,64.3078087,30.49
465,5270,0,320686,178398,117980,331718,317335,431095,432366,445756,563411,309610,490953,536532,4.44,4.44,4.65,8.46,12.27,20.04,22.83,22.49,19.34,12.29,4.44,4.44,4.44,4.44,4.44,4.44,6.83,13,14.96,14.2,9.77,5.86,4.44,4.44,1.61,2.68,6.23,7.1,9.61,13.38,17.95,17.93,16.04,11.51,4.98,3.19,6.78,6.42,8.65,11.39,10.81,9.1,8.05,8.48,8.38,7.9,8.68,7.48,79.81025911,62.90512956,30.49
469,5140,0,1968726,1701412,2015501,1168228,1196385,2031665,2221661,1936003,1940120,1494548,2042016,2478987,4.44,4.44,4.74,8.55,12.28,20.18,23,22.64,19.37,12.44,4.44,4.44,4.44,4.44,4.44,4.44,6.91,13.09,15.05,14.24,9.78,5.91,4.44,4.44,1.59,2.65,6.2,6.94,9.33,13.15,18.05,17.89,15.86,11.44,4.95,3.16,7.06,6.74,9.02,11.63,11.08,9.34,8.34,8.74,8.64,8.24,8.97,7.8,79.85626369,62.92813185,30.49
478,5202,0,11959,0,0,1912,0,6247,23583,4947,3393,4064,0,0,4.44,4.44,4.7,8.51,12.28,20.12,22.91,22.56,19.36,12.36,4.44,4.44,4.44,4.44,4.44,4.44,6.87,13.04,15,14.22,9.78,5.88,4.44,4.44,1.58,2.64,6.2,6.94,9.4,13.14,17.9,17.83,15.9,11.45,4.93,3.15,6.91,6.58,8.84,11.52,10.95,9.23,8.19,8.6,8.51,8.07,8.83,7.63,79.8286781,62.91433905,30.49
492,5960,0,915608,728623,556434,828963,908740,826305,917707,920581,674977,783682,764692,768863,4.44,4.44,4.81,8.81,12.85,20.73,22.67,21.8,19.43,12.12,4.44,4.44,4.44,4.44,4.44,4.44,6.8,12.52,15.09,14.31,10.13,5.67,4.44,4.44,2.24,3.47,6.77,9.54,12.69,17.23,19.64,20.26,18.02,12.68,6,4.08,6.61,6.84,9.29,12.82,11.11,10.58,8.59,7.85,8.73,8.69,9.26,7.47,79.59423103,63.0934637,30.49
493,6175,0,0,0,7396,0,0,12266,0,0,7354,0,0,11999,4.44,4.44,4.8,8.8,12.83,20.7,22.68,21.83,19.42,12.13,4.44,4.44,4.44,4.44,4.44,4.44,6.8,12.54,15.08,14.31,10.12,5.68,4.44,4.44,2.2,3.43,6.75,9.42,12.54,17.02,19.56,20.12,17.93,12.62,5.96,4.03,6.59,6.81,9.25,12.77,11.08,10.52,8.56,7.85,8.69,8.65,9.22,7.44,79.54872247,63.06505882,30.49
508,3621,0,6683,42587,64517,70193,86881,106836,151114,123894,155230,0,197773,170227,4.44,4.44,5.96,11.42,15.31,23.53,25.65,24.75,21.05,13.55,4.95,4.44,4.44,4.44,4.44,6.26,9.81,15.89,18.2,17.09,13.36,7.3,4.44,4.44,2.56,4.28,8.79,13.08,16.38,21.96,24.03,23.3,20.36,14.33,7.09,4.3,8.79,8.77,11.95,14,13.61,12.1,10.58,9.93,10.39,9.76,11.01,9.13,86.57609078,67.98420696,30.49
